Name,Shop Code,Latitude,Longitude,Full Address,Pincode,Cuisine,Opening Hours
Choco drama,AMD-1037,23.0410761,72.5269272,Ahmedabad/GNR,N/A,Cafe,N/A
Scoop N Munch,AMD-1038,23.1361303,72.5502307,"B116, Shaligram Lakeview S P Ring Road  Gandhinagar",382470,ice_cream;waffle;shakes,N/A
Stallions Cafe,AMD-1039,23.0843166,72.4878637,Science City Bhadaj Road  Ahmedabad,380060,coffee_shop;fast_food,N/A
The Gyan Café,AMD-1040,23.1048411,72.5379754,Ahmedabad/GNR,N/A,Cafe,N/A
The dark roast,AMD-1041,23.0124903,72.5033515,"Service road - Sarkhej Gandhinagar Highway  Ahmedabad, Prahladnagar",380015,Cafe,N/A
Starbucks,GNR-1042,23.1849638,72.6304054,Ahmedabad/GNR,N/A,coffee_shop,Mo-Su 08:00-24:00
Banna's Tea Stall,GNR-1043,23.1885733,72.6302431,Gandhinagar,382421,tea;noodle,N/A
Sambhar Cafe,AMD-1044,23.0334428,72.4370691,Ahmedabad/GNR,N/A,Cafe,N/A
Kettl Cafe Sarkhej-Sanand Rd.,AMD-1045,22.9876163,72.4476696,"Survery No. 478 Inside Nayara Energy Fuel Pump, Sarkhej-Sanand Rd, Near Telav  Ahmedabad",382210,coffee_shop;burger;sandwich;waffle;tea,Mo-Su 10:00-23:55
Upper crust cafe,AMD-1046,23.0410843,72.5269296,Ahmedabad/GNR,N/A,Cafe,N/A
MG Science Canteen,AMD-1047,23.0347461,72.5514151,Ahmedabad/GNR,N/A,Cafe,N/A
Vibes9 V9 Cafe,AMD-1048,23.0677778,72.4870557,Sardar Patel Ring Road  Ahmedabad,380059,Cafe,N/A
Anticlock Canteen,GNR-1049,23.2024101,72.5831926,Ahmedabad/GNR,N/A,Cafe,N/A
Camilo Coffee,AMD-1050,23.0454565,72.4917071,Ahmedabad/GNR,N/A,Cafe,N/A
Unnamed Cafe,AMD-1051,23.0431661,72.5760702,Ahmedabad/GNR,N/A,Cafe,N/A
Unnamed Cafe,AMD-1052,23.0059096,72.569638,Ahmedabad/GNR,N/A,Cafe,N/A
site,AMD-1053,23.0362244,72.4940097,Ahmedabad/GNR,N/A,Cafe,N/A
NesCafe,GNR-1054,23.1885664,72.6272818,Ahmedabad/GNR,N/A,Cafe,N/A
K ++,GNR-1055,23.1886074,72.6269134,Ahmedabad/GNR,N/A,coffee_shop,N/A
