Name,Address,Shop Code,Pincode,Taste,Category,Subcategory,Latitude,Longitude
Results,"
Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-53,382419,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",GAN-419-54,382419,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-55,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-56,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-57,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-58,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",GAN-007-59,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-60,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-61,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-62,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-63,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Yogi Petrol pump Gh_0, Infocity, Gandhinagar, Gujarat 382007",GAN-007-64,382007,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-65,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-66,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
Shop no. 5, Shree status, SWAMINARAYAN MANDIR VASNA SANSTHA, road, near Ground floor, kudasan, Gandhinagar, Gujarat 382426",GAN-426-67,382426,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-68,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-69,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
Results,"
A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",GAN-041-70,382041,Standard,Cafe,Coffee Shop,23.1848164,72.5599475
